experiment_id,date,stage,status,method,parent_id,hypothesis,change,seeds,evaluation_level,pass_gate,artifact_path,key_result,gate_result,decision,notes
CEM-20260727-COLLISION-S23,2026-07-27,M0,COMPLETED,CEM,PHASE-CONTROLLER-LEGACY,当前碰撞、自碰撞和执行器约束下仍存在持续主动滚动控制器,在当前碰撞模型上重新搜索并加入分级碰撞代价,23,V1,10 s 无硬失败并完成至少 1 圈,results/collision_constrained_cem,10 s 9.914 圈；leg crossing=0；最大非允许穿透 0.459 mm,PASS,作为可行性基准和后续 RL/物理检查参考,不作为 RL 动作教师
PPO-20260727-SWEEP-S0,2026-07-27,M1,FAILED,PPO,,不同稳定性和终止惩罚配置中至少一个能通过长训筛选门槛,多候选参数扫描,0,S1,存活 >=20%；估算净滚动 >=0.25 圈；non-finite=0,mjx_ppo_sweep_h200_20260727_130852.log,全部候选未通过质量门槛；部分配置短 episode；terminal50 出现 NaN,FAIL,不从失败候选启动长训；检查终止语义并做有界对照,该扫描仍包含后来确认不合理的 root_low 终止
PPO-20260728-ROOTFIX-S0,2026-07-28,M1,RUNNING,PPO,PPO-20260727-SWEEP-S0,禁用不合理 root_low 后，稳定性参数组可使纯 PPO 通过 S1 门槛,learning_rate=1e-4；entropy=3e-3；discounting=0.995；termination=10；cg12,0,S1,存活 >=20%；估算净滚动 >=0.25 圈；non-finite=0,results/mjx_ppo_rootfix_seed0,,NOT_EVALUATED,等待训练完成后按物理指标评价,云端命令使用 mujoco-gl=disable；后续命令默认使用 egl；未显式限制 steps
GEOM-20260728-WALK-SHELL,2026-07-28,M3,COMPLETED,GEOMETRY,CEM-20260727-COLLISION-S23,缩短固定弧壳可恢复完整行走安全关节范围且不破坏滚动可行性,共线弧壳端部间隙 2 mm -> 28 mm；新增 walk 关键帧；恢复 safe joint ranges,,V1,完整安全范围最小外壳间隙 >=2 mm；walk 无自接触；旧 CEM 仍完成 >=1 圈,results/walking_shell_clearance,髋最小间隙 2.370 mm；膝 9.820 mm；walk 最小壳间隙 40.639 mm；旧 CEM 10 s 9.049 圈,PASS,采用缩短外壳作为当前活动模型；后续控制器必须重训,旧云端 PPO 基于修改前模型，只作为历史训练实验
EVAL-20260905-LOCOMOTION-ENERGY,2026-09-05,M3,COMPLETED,CPU paired evaluation,CURRENT-ROLLINGQUAD2,Rolling positive mechanical J/m is lower at similar actual speed,Unified CAD model physics and corrected actuator power and policy history,deterministic,baseline,Finite complete; walking upright; actual speed mismatch <=10%; rolling positive J/m lower,results/energy_comparison_3d_20260905,Matched 0.587/0.591 m/s: rolling positive J/m 17.55% lower; absolute CoT 2.04% higher. 1ms: positive J/m 16.50% lower.,PASS,Positive mechanical work hypothesis supported only; do not infer battery savings,Main scan plus _matched and _dt1ms folders; deterministic baseline; power identity error <6e-14 W; report docs/locomotion_energy_3d_20260905_zh.md
CEM-20260905-ENERGY-3D,2026-09-05,M3,COMPLETED,Warm-start CEM,EVAL-20260905-LOCOMOTION-ENERGY,Absolute mechanical J/m reduced >=10% while retaining matched speed and rolling/contact gates,Optimize 8 sinusoid coefficients plus oscillator rate/coupling; fixed model and foot gap,17;43,10s training; 1ms and 20s held-out validation,Speed within 5%; >=90% baseline turns; bounded contact tilt drift saturation; absolute J/m reduced >=10%,results/energy_cem_3d_20260905,"Absolute J/m reduced 8.41% (10s), 8.15% (1ms), 6.58% (20s); versus matched walking reduced 6.84%, 6.32%, 2.92%",FAIL,Useful mechanical-work improvement; >=10% target not met; keep experimental candidate without replacing official reference,"288 candidate evaluations, seeds17/43. Interrupted and resumed saved generations. See docs/energy_cem_3d_20260905_zh.md. Mechanical work only."
EVAL-20260907-PUPPER-REF-MESH-ABD10,2026-09-07,M3,COMPLETED,CPU energy evaluation,EVAL-20260905-LOCOMOTION-ENERGY,Requested planar reference sustains mesh-model rolling at outward ABD10; quantify mechanical work against ABD0,User-selected pupper shell150/45 reference; all four abduction servos at +10 degrees; same full CAD mesh model,deterministic,10s;20s;1ms timestep,"Finite sustained rolling; report energy speed axis tilt and actual abduction, no preset saving target",results/pupper_reference_mesh_abd10_energy_20260907_10s,All +10 degrees and ABD0 failed sustained forward rolling; superseded by user correction front -10 rear +10,FAIL,Retain as angle-diagnostic only; corrected configuration has separate record,Mechanical work includes all 12 motors; abduction servo hold not rigid lock
EVAL-20260907-PUPPER-MESH-FM10-RP10,2026-09-07,M3,COMPLETED,CPU energy evaluation,EVAL-20260907-PUPPER-REF-MESH-ABD10,Measure requested reference with corrected front -10 and rear +10 abduction targets,Front ABD changed from +10 to -10; rear remains +10; fixed reference and full mesh model,deterministic,10s;20s;1ms; exploratory walking comparison,Finite sustained rolling; disclose contact drift acceleration and mechanical work,results/pupper_reference_mesh_frontm10_rearp10_energy_20260907_matched10s,"2-10s: speed 0.6947 m/s, positive 3.3258 J/m, absolute 4.9421 J/m, no self contact or saturation; 20s distance14.2246m",PASS,Useful low-work rolling reference with corrected abduction; no steady-speed battery claim,Walking cmd0.76 outside current training-source range; rolling accelerates to0.803m/s in10-20s; report docs/pupper_reference_mesh_abduction_energy_20260907_zh.md
EVAL-20260907-PUPPER-PRIMITIVE-FM10-RP10,2026-09-07,M3,COMPLETED,CPU reference replay,EVAL-20260907-PUPPER-MESH-FM10-RP10,Test whether the requested shell150/45 reference transfers to the primitive 3D model,Primitive collision model; front ABD -10 degrees; rear ABD +10 degrees; fixed controller,deterministic,10s,"Finite sustained rolling; >=1 turn; no self contact or torque saturation",results/pupper_reference_primitive_abd10_20260907,"Official: 4.661m and 5.194 turns; energy cross-check: 4.727m and 5.278 turns; no self contact or saturation",PASS,Reference can drive the primitive model; use a separate energy baseline from mesh,Primitive 2-10s speed0.508m/s and absolute5.791J/m; report docs/pupper_reference_primitive_abd10_20260907_zh.md
EVAL-20260908-STAND-DIRECT-ROLL,2026-09-08,M3,COMPLETED,CPU initial-state transfer,EVAL-20260907-PUPPER-PRIMITIVE-FM10-RP10,The fixed rolling reference can enter sustained rolling directly from a static stand pose,Primitive stand reset; immediate reference; front ABD -10 degrees; rear ABD +10 degrees,deterministic,10s; standard ramp and full-amplitude sensitivity,"Finite; >=1 net turn; positive final-window progress; no self contact",results/pupper_reference_primitive_stand_direct_20260908,"Standard ramp: 0.152m and 0.103 turn; full amplitude: 0.459m and 0.520 turn; compact baseline: 4.727m and 5.278 turns",FAIL,Use a learned or designed stand-to-compact/low-speed-roll startup stage before handing off to this reference,Standard direct switch peak absolute power99W and first0.25s absolute work7.10J; MP4 and report included
